dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,0.000000,1.125000,0.000039,0.003944,0.197192,9.859609,0.000000
0.020000,0.000097,1.125000,0.000137,0.004860,0.045788,-7.570196,0.000000
0.020000,0.000452,1.125000,0.000492,0.017747,0.644384,29.929804,0.000000
0.020000,0.001083,1.125000,0.001123,0.031551,0.690173,2.289413,0.000000
0.020000,0.002069,1.125000,0.002109,0.049298,0.887365,9.859609,0.000000
0.020000,0.003489,1.125000,0.003528,0.070989,1.084557,9.859609,0.000000
0.020000,0.005421,1.125000,0.005461,0.096624,1.281749,9.859609,0.000000
0.020000,0.007945,1.125000,0.007985,0.126203,1.478941,9.859609,0.000000
0.020000,0.011140,1.125000,0.011179,0.159726,1.676133,9.859609,0.000000
0.020000,0.015084,1.125000,0.015123,0.197192,1.873326,9.859609,0.000000
0.020000,0.019856,1.125000,0.019895,0.238603,2.070518,9.859609,0.000000
0.020000,0.025535,1.125000,0.025574,0.283957,2.267710,9.859609,0.000000
0.020000,0.032200,1.125000,0.032240,0.333255,2.464902,9.859609,0.000000
0.020000,0.039930,1.125000,0.039969,0.386497,2.662094,9.859609,0.000000
0.020000,0.048804,1.125000,0.048843,0.443682,2.859287,9.859609,0.000000
0.020000,0.058900,1.125000,0.058939,0.504812,3.056479,9.859609,0.000000
0.020000,0.070298,1.125000,0.070337,0.569885,3.253671,9.859609,0.000000
0.020000,0.083076,1.125000,0.083115,0.638903,3.450863,9.859609,0.000000
0.020000,0.097313,1.125000,0.097352,0.711864,3.648055,9.859609,0.000000
0.020000,0.113088,1.125000,0.113128,0.788769,3.845247,9.859609,0.000000
0.020000,0.130481,1.125000,0.130520,0.869617,4.042440,9.859609,0.000000
0.020000,0.149569,1.125000,0.149608,0.954410,4.239632,9.859609,0.000000
0.020000,0.170432,1.125000,0.170471,1.043147,4.436824,9.859609,0.000000
0.020000,0.193148,1.125000,0.193188,1.135827,4.634016,9.859609,0.000000
0.020000,0.217797,1.125000,0.217837,1.232451,4.831208,9.859609,0.000000
0.020000,0.244458,1.125000,0.244497,1.333019,5.028400,9.859609,0.000000
0.020000,0.273208,1.125000,0.273248,1.437531,5.225593,9.859609,0.000000
0.020000,0.304128,1.125000,0.304168,1.545987,5.422785,9.859609,0.000000
0.020000,0.337296,1.125000,0.337335,1.658386,5.619977,9.859609,0.000000
0.020000,0.372790,1.125000,0.372830,1.774730,5.817169,9.859609,0.000000
0.020000,0.410651,1.125000,0.410691,1.893045,5.915765,4.929804,0.000000
0.020000,0.450879,1.125000,0.450918,2.011360,5.915765,-0.000000,0.000000
0.020000,0.493472,1.125000,0.493511,2.129675,5.915765,0.000000,0.000000
